)engine = 'performance_schema'
PHONE_REDACTEDT17:PORT:PORT.527820Z	    8 Connect	
PHONE_REDACTEDT17:PORT:PORT.528641Z	    8 Query	SELECT VALUE="Yes" FROM performance_schema.tls_channel_status  WHERE CHANNEL="mysql_main" AND PROPERTY="Enabled"
PHONE_REDACTEDT17:PORT:PORT.549987Z	    8 Quit	
PHONE_REDACTEDT17:PORT:PORT.308159Z	    9 Connect	EMAIL_REDACTED on lead_lab using SSL/TLS
PHONE_REDACTEDT17:PORT:PORT.319862Z	    9 Query	/* mysql-connector-j-8.1.0 (Revision: 7b6f9a337afe6ccb41823df485bf848ca7952b09) */SELECT  @@session.auto_increment_increment AS auto_increment_increment, @@character_set_client AS character_set_client, @@character_set_connection AS character_set_connection, @@character_set_results AS character_set_results, @@character_set_server AS character_set_server, @@collation_server AS collation_server, @@collation_connection AS collation_connection, @@init_connect AS init_connect, @@interactive_timeout AS interactive_timeout, @@license AS license, @@lower_case_table_names AS lower_case_table_names, @@max_allowed_packet AS max_allowed_packet, @@net_write_timeout AS net_write_timeout, @@performance_schema AS performance_schema, @@sql_mode AS sql_mode, @@system_time_zone AS system_time_zone, @@time_zone AS time_zone, @@transaction_isolation AS transaction_isolation, @@wait_timeout AS wait_timeout
PHONE_REDACTEDT17:PORT:PORT.359251Z	    9 Query	SET character_set_results = NULL
PHONE_REDACTEDT17:PORT:PORT.361121Z	    9 Query	SET autocommit=1
PHONE_REDACTEDT17:PORT:PORT.373912Z	    9 Query	SELECT @@session.transaction_read_only
PHONE_REDACTEDT17:PORT:PORT.376450Z	    9 Query	SELECT @@session.transaction_isolation
PHONE_REDACTEDT17:PORT:PORT.425381Z	    9 Query	SELECT WORD FROM INFORMATION_SCHEMA.KEYWORDS WHERE RESERVED=1 ORDER BY WORD
PHONE_REDACTEDT17:PORT:PORT.618113Z	   10 Connect	EMAIL_REDACTED on lead_lab using SSL/TLS
PHONE_REDACTEDT17:PORT:PORT.627142Z	   10 Query	/* mysql-connector-j-8.1.0 (Revision: 7b6f9a337afe6ccb41823df485bf848ca7952b09) */SELECT  @@session.auto_increment_increment AS auto_increment_increment, @@character_set_client AS character_set_client, @@character_set_connection AS character_set_connection, @@character_set_results AS character_set_results, @@character_set_server AS character_set_server, @@collation_server AS collation_server, @@collation_connection AS collation_connection, @@init_connect AS init_connect, @@interactive_timeout AS interactive_timeout, @@license AS license, @@lower_case_table_names AS lower_case_table_names, @@max_allowed_packet AS max_allowed_packet, @@net_write_timeout AS net_write_timeout, @@performance_schema AS performance_schema, @@sql_mode AS sql_mode, @@system_time_zone AS system_time_zone, @@time_zone AS time_zone, @@transaction_isolation AS transaction_isolation, @@wait_timeout AS wait_timeout
PHONE_REDACTEDT17:PORT:PORT.632990Z	   10 Query	SET character_set_results = NULL
PHONE_REDACTEDT17:PORT:PORT.636969Z	   10 Query	SET autocommit=1
PHONE_REDACTEDT17:PORT:PORT.641042Z	   10 Query	SELECT @@session.transaction_read_only
PHONE_REDACTEDT17:PORT:PORT.724940Z	   11 Connect	EMAIL_REDACTED on lead_lab using SSL/TLS
PHONE_REDACTEDT17:PORT:PORT.730426Z	   11 Query	/* mysql-connector-j-8.1.0 (Revision: 7b6f9a337afe6ccb41823df485bf848ca7952b09) */SELECT  @@session.auto_increment_increment AS auto_increment_increment, @@character_set_client AS character_set_client, @@character_set_connection AS character_set_connection, @@character_set_results AS character_set_results, @@character_set_server AS character_set_server, @@collation_server AS collation_server, @@collation_connection AS collation_connection, @@init_connect AS init_connect, @@interactive_timeout AS interactive_timeout, @@license AS license, @@lower_case_table_names AS lower_case_table_names, @@max_allowed_packet AS max_allowed_packet, @@net_write_timeout AS net_write_timeout, @@performance_schema AS performance_schema, @@sql_mode AS sql_mode, @@system_time_zone AS system_time_zone, @@time_zone AS time_zone, @@transaction_isolation AS transaction_isolation, @@wait_timeout AS wait_timeout
PHONE_REDACTEDT17:PORT:PORT.733639Z	   11 Query	SET character_set_results = NULL
PHONE_REDACTEDT17:PORT:PORT.735034Z	   11 Query	SET autocommit=1
PHONE_REDACTEDT17:PORT:PORT.736978Z	   11 Query	SELECT @@session.transaction_read_only
PHONE_REDACTEDT17:PORT:PORT.508247Z	   11 Quit	
PHONE_REDACTEDT17:PORT:PORT.849754Z	    9 Quit	
PHONE_REDACTEDT17:PORT:PORT.909133Z	   12 Connect	EMAIL_REDACTED on lead_lab using SSL/TLS
